svc,cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,2016,2,E,E5,33010,41960,,30870,21890,,30690,42870,,46560,61710,,67210,85060,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E6,13390,15680,,11770,9483,,37490,46910,,56280,67090,,80770,93870,,1,1,-1,1,1,-1,1,1,-1
0,2016,2,E,E7-E9,18770,20810,,13980,11980,,44980,54280,,65990,76130,,90000,100400,,1,1,-1,1,1,-1,1,1,-1
0,2018,2,X,E1-E9,135200,,,125100,,,27360,,,42760,,,66790,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E1,6819,,,7262,,,19230,,,25570,,,34270,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E2,6675,,,6619,,,19900,,,26830,,,36660,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E3,13300,,,13950,,,21320,,,30000,,,41910,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E4,45190,,,45100,,,25610,,,37780,,,54080,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E5,33290,,,29340,,,33140,,,50100,,,72570,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E6,12120,,,10080,,,42580,,,63740,,,88350,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2018,2,E,E7-E9,17790,,,12720,,,50740,,,73650,,,98400,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,X,E1-E9,137000,,,118500,,,26880,,,41130,,,63030,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E1,5135,,,4533,,,19180,,,25930,,,35730,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E2,5803,,,4812,,,19550,,,27210,,,37010,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E3,15420,,,13800,,,21390,,,30140,,,41830,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E4,48100,,,43730,,,25040,,,36390,,,51090,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E5,32310,,,27580,,,31420,,,47400,,,68310,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E6,12910,,,10800,,,40740,,,61140,,,85640,,,1,-1,-1,1,-1,-1,1,-1,-1
0,2020,2,E,E7-E9,17320,,,13300,,,48830,,,71840,,,96570,,,1,-1,-1,1,-1,-1,1,-1,-1
A,0,20,X,E1-E9,534100,547800,332200,645000,420400,229300,24110,31700,37620,35960,47160,55850,53860,68150,81250,1,1,1,1,1,1,1,1,1
A,0,20,E,E1,43250,44150,27980,67870,46580,28340,18970,23070,26290,24560,32330,38390,32970,44890,55050,1,1,1,1,1,1,1,1,1
A,0,20,E,E2,35690,37550,25650,54040,35940,22560,19090,23550,27180,24850,32860,39370,33450,45710,55930,1,1,1,1,1,1,1,1,1
A,0,20,E,E3,43400,47000,30960,66520,44490,27130,20050,25260,29580,27110,36040,43270,37270,50110,61120,1,1,1,1,1,1,1,1,1
A,0,20,E,E4,194700,210000,118000,255100,158500,77760,23430,31480,37640,33450,45380,53830,46980,63110,75760,1,1,1,1,1,1,1,1,1
A,0,20,E,E5,101800,105400,67060,110400,69920,36590,28350,38900,47340,41710,54800,66820,59770,76200,93470,1,1,1,1,1,1,1,1,1
A,0,20,E,E6,42800,39950,22250,42590,29620,15390,34020,42750,49080,49100,59590,69180,71150,84670,97520,1,1,1,1,1,1,1,1,1
A,0,20,E,E7-E9,72390,63740,40280,48490,35290,21530,42060,50620,55690,60230,70550,78070,84520,95470,104200,1,1,1,1,1,1,1,1,1
A,2002,2,X,E1-E9,52390,66390,64290,54320,40320,42400,22890,30230,36090,33620,45270,53460,49010,64680,77960,1,1,1,1,1,1,1,1,1
A,2004,2,X,E1-E9,68330,67740,75020,54630,55270,47990,23380,33970,37830,35710,50490,56140,53620,73440,81680,1,1,1,1,1,1,1,1,1
A,2006,2,X,E1-E9,54920,55190,62900,49920,49680,41960,24670,33100,38720,37490,50190,57330,56540,74370,83160,1,1,1,1,1,1,1,1,1
A,2008,2,X,E1-E9,37050,55530,62820,71090,52510,45280,26400,29670,37620,41130,45220,56410,64840,67850,82410,1,1,1,1,1,1,1,1,1
